,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5785,United States,Utah,mlp_model_1110,388.27950386791224,6.0
5785,United States,Utah,LSTM,402.3557238333534,7.0
5785,United States,Utah,mlp_model_0110,36467.05059291005,8.0
5807,United States,Vermont,LSTM,27.353533832627182,1.0
5807,United States,Vermont,Linear,319.41616423304475,2.0
5807,United States,Vermont,mlp_model_1110_2,1262.3349716923774,3.0
5807,United States,Vermont,mlp_model_0110_6,1265.9066394564306,4.0
5807,United States,Vermont,mlp_model_1110_6,1268.795239028102,5.0
5807,United States,Vermont,mlp_model_1110,1271.3984350919436,6.0
5807,United States,Vermont,mlp_model_0110_2,1296.9098398034507,7.0
5807,United States,Vermont,mlp_model_0110,906776.9291108501,8.0
5829,United States,Virgin Islands,mlp_model_0110,,8.0
5829,United States,Virgin Islands,mlp_model_1110,,4.0
5829,United States,Virgin Islands,mlp_model_0110_6,,4.0
5829,United States,Virgin Islands,mlp_model_1110_6,,7.0
5829,United States,Virgin Islands,mlp_model_0110_2,,6.0
5829,United States,Virgin Islands,mlp_model_1110_2,,4.0
5829,United States,Virgin Islands,LSTM,,1.0
5829,United States,Virgin Islands,Linear,,2.0
5851,United States,Virginia,mlp_model_0110_6,39.67823863098236,1.0
5851,United States,Virginia,mlp_model_1110_6,58.10883789058154,2.0
5851,United States,Virginia,Linear,78.05415224766506,3.0
5851,United States,Virginia,LSTM,78.38572999105253,4.0
5851,United States,Virginia,mlp_model_1110_2,95.58899356157943,5.0
5851,United States,Virginia,mlp_model_0110_2,124.02640366590455,6.0
5851,United States,Virginia,mlp_model_1110,175.12010854615423,7.0
5851,United States,Virginia,mlp_model_0110,50543.82108568094,8.0
5873,United States,Washington,mlp_model_1110_2,63.83204553001361,1.0
5873,United States,Washington,mlp_model_1110,74.79204872648842,2.0
5873,United States,Washington,mlp_model_1110_6,75.84440243004921,3.0
5873,United States,Washington,mlp_model_0110_6,102.76533036671667,4.0
5873,United States,Washington,Linear,127.4951811246084,5.0
5873,United States,Washington,LSTM,132.31829110364544,6.0
5873,United States,Washington,mlp_model_0110_2,195.03169929026143,7.0
5873,United States,Washington,mlp_model_0110,1742.5172296702797,8.0
5895,United States,Washington DC,mlp_model_0110,,8.0
5895,United States,Washington DC,mlp_model_1110,,7.0
5895,United States,Washington DC,mlp_model_0110_6,,5.0
5895,United States,Washington DC,mlp_model_1110_6,,4.0
5895,United States,Washington DC,mlp_model_0110_2,,6.0
